1,22-Feb-17,EEA et al,Human biomonitoring as a tool to support chemicals regulation in the European Union,24-Jan-17,2,"International Journal of Hygiene and Environmental Health.Volume 220, Issue 2, Part A, March 2017, Pages 94-97",,https://www.sciencedirect.com/science/article/pii/S1438463916303613?via%3Dihub,International Journal of Hygiene and Environmental Health,"Catherine Ganzleben, Jean-Philippe Antignac, Robert Barouki, Argelia Castaño, Ulrike Fiddicke, Jana Klánová, Erik Lebret, Nicolas Olea, Dimosthenis Sarigiannis, Greet R. Schoeters, Ovnair Sepai, Hanna Tolonen, Marike Kolossa-Gehringe",catherine.ganzleben@eea.europa.eu,access via institutional login/e-mail OR purchase PDF,,,,,,,,,
12,09-Oct-19,"INSERM. Marylène Rugard, Xavier Coumoul, Jean-Charles Carvaillo, Robert Barouki, Karine Audouze",Deciphering adverse outcome pathway network linked to Bisphenol F using text mining and systems toxicology approaches,2019  (date not found),13,Toxicological sciences,audouze.p7@gmail.com,https://academic.oup.com/toxsci/advance-article/doi/10.1093/toxsci/kfz214/5584266?guestAccessKey=1434cff0-84de-4e54-8673-a503ecd4cc5a,Toxicological Sciences,"Marylène Rugard, Xavier Coumoul, Jean-Charles Carvaillo, Robert Barouki, Karine Audouze",Karine Audouze audouze.p7@gmail.com,full text and PDF - Free She sent key research messages  7/05 ,,,,,,,,,
13,09-Dec-19,,Pesticides with potential Thyroid Hormone-Disrupting Effects: A review of recent data,2019 Dec 9;10:743 ,WP13/14,,,https://doi.org/10.3389/fendo.2019.00743,Frontiers in Endocrinology (Lausanne).,"Michelle Leemans, Stephan Couderq, Barbara Demeneix and Jean-Baptiste Fini",,Open access. PDF - Free,,,,,,,,,
14,16-Dec-19,,Transcriptomic effect marker patterns of genotoxins – a comparative study with literature data,?,,,,https://doi.org/10.1002/jat.3928,Journal of Applied Toxicology,"Katrin Kreuzer,  Falko Frenzel,  Alfonso Lampen,  Albert Braeuning,  Linda Böhmert",,Open access. PDF - Free,,,,,,,,,
15,06-Mar-20,,"Testing for thyroid hormone disruptors, a review of non-mammalian in vivo models",2020 May 15;508:110779,14,,,https://doi.org/10.1016/j.mce.2020.110779,Molecular and Cellular Endocrinology ,"Stephan Couderq, Michelle Leemans, Jean-Baptiste Fini",fini@mnhn.fr,no open access,,,,,,,,,
16,13-Mar-20,,"Dietary Intake of Acrylamide and Risk of Breast, Endometrial, and Ovarian Cancers: A Systematic Review and Dose–Response Meta-analysis",10/03/2020,13 (13.2),Int J Epidemiol,"Giorgia Adani1, Tommaso Filippini1, Lauren A Wise2, Thorhallur I Halldorsson3,4, Ludek Blaha5,
Marco Vinceti1,2*","Dietary Intake of Acrylamide and Risk of Breast, Endometrial, and Ovarian Cancers: A Systematic Review and Dose–Response Meta-analysis | Cancer Epidemiology, Biomarkers & Prevention (aacrjournals.org)","AACR Publications/Cancer Epidemiology, Biomarkers & Prevention","Giorgia Adani, Tommaso Filippini, Lauren A. Wise, Thorhallur I. Halldorsson, Ludek Blaha, and Marco Vinceti",marco.vinceti@unimore.it,Open access. PDF - Free research messages sent 20/04,,,,,,,,,
17,13-Mar-20,"MUI, INRA, UFZ, Uantwerpen, CEA, VU-E&H",A European proposal for quality control and quality assurance of tandem mass spectral libraries,22/02/2020,WP16,Environment Sciences Europe,herbert.oberacher@i-med.ac.at,https://enveurope.springeropen.com/articles/10.1186/s12302-020-00314-9,Environ Sci Eur (2020) 32:43,"Herbert Oberacher, Michael Sasse, Jean-Philippe Antignac, Yann Guitton, Laurent Debrauwer, Emilien L. Jamin, Tobias Schulze, Martin Krauss, Adrian Covaci, Noelia Caballero-Casero, Kathleen Rousseau, Annelaure Damont, François Fenaille, Marja Lamoree & Emma L. Schymanski",Added: Jean Philippe ANTIGNAC <jean-philippe.antignac@oniris-nantes.fr>,Open access. PDF - Free jean-philippe is informed,,,,,,,,,
18,21-Mar-20,MU,"""Comparison of polycyclic aromatic hydrocarbon metabolite concentrations in urine of mothers and their newborns""",20/03/2020,13,Science of the Total Environment,Ludek as WPL. Corresponding author Jana.Pulkrabova@vscht.cz,https://www.sciencedirect.com/science/article/pii/S0048969720316296,Science of The Total Environment,"Katerina Urbancova, Darina Dvorakova, Tomas Gramblicka, Radim J. Sram, Jana Hajslova, Jana Pulkrabova",Ludek and Jana P. Pulkrabova Jana <Jana.Pulkrabova@vscht.cz>,PDF - Free,,,,,,,,,
19,28-Mar-20,,Identification of a transcriptomic signature of food-relevant genotoxins in human HepaRG hepatocarcinoma cells,accepted Science Direct 18 March 2020,,,,https://doi.org/10.1016/j.fct.2020.111297,Food and Chemical Toxicology,"Katrin Kreuzer, Linda Böhmert, Deema Alhalabi, Thorsten Buhrke, Alfonso Lampen, Albert Braeuning",?????,no open access,,,,,,,,,
20,09-Apr-20,INSERM 15.3,"Relying on repeated biospecimens to reduce the effects of exposure measurement error in studies
linking the exposome to health",04/04/2020,15,Epidemiology,"Lydiane Agier, Rémy Slama,*, Xavier Basagaña*."," https://www.sciencedirect.com/science/article/abs/pii/S0013935120303856?via%3Dihub                                                            * Equally contributed last authorship   e-mails? Have emailed Mirjam from WP15, and asked.",Environmental Research,"Lydiane Agier, Rémy Slama, Xavier Basagaña",lydiane.agier@univ-grenoble-alpes.fr; xavier.basagana@isglobal.org,not open access publication,,,,,,,,,
21,09-Apr-20,,Towards Harmonized Biobanking for Biomonitoring: A Comparison of Human Biomonitoring-Related and Clinical Biorepositories,?,?,,,https://www.liebertpub.com/doi/full/10.1089/bio.2019.0092,Biopreservation and Biobanking,"Dominik Lermen, Frederik Gwinner, Martina Bartel-Steinbach, Sabine C. Mueller, Jens K. Habermann, Matharoo-Ball Balwir, Elke Smits, Ana Virgolino, Ulrike Fiddicke, Marika Berglund, Agneta Åkesson, Anna Bergstrom, Karin Leander, Milena Horvat, Janja Snoj Tratnik, Manuel Posada de la Paz, Argelia Castaño Calvo, Marta Esteban López, Hagen von Briesen, Heiko Zimmermann and Marike Kolossa-Gehring",dominik.lermen@ibmt.fraunhofer.de,free access,,,,,,,,,
22,17-Apr-19,"Carvaillo Jean-Charles 1,2, Barouki Robert 1,2, Coumoul Xavier 1, 2, Audouze Karine ",Linking Bisphenol S to Adverse Outcome Pathways Using a Combined Text Mining and Systems Biology Approach.,19-Mar-19,13,Environmental Health Perspectives,audouze.p7@gmail.com,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6785233/,Environ Health Perspect.,"Jean-Charles Carvaillo, Robert Barouki, Xavier Coumoul and Karine Audouze",Karine Audouze,open access. PDF - Free she sent the key messages on the 7 /05,,,,,,,,,
23,21-Apr-20,,Biomonitoring for occupational exposure to diisocyanates: a systematic review,02-Apr-20,8,Annals of Work Exposures and Health,"Bernice Scholten, Laura Kenny, Radu-Corneliu Duca, Anjoeka Pronk, Tiina Santonen,
Karen S. Galea, Miranda Loh, Katriina Huumonen, Anne Sleeuwenhoek, Matteo Creta, Kate
Jones. Contact: bernice.schaddelee@tno.nl",https://academic.oup.com/annweh/advance-article/doi/10.1093/annweh/wxaa038/5822987,Annals of Work Exposures and Health,"Bernice Scholten, Laura Kenny, Radu-Corneliu Duca, Anjoeka Pronk, Tiina Santonen, Karen S Galea, Miranda Loh, Katriina Huumonen, Anne Sleeuwenhoek, Matteo Creta,  Lode Godderis, Kate Jones",Bernice Scholten and Kate Jones,Open access. PDF - Free sent key messages 4/05,,,,,,,,,
24,29-Apr-20,"INRA, MU, Uantwerpen, MUI, VU-E&H, CEA, IRAS, UFZ, AUTH, INSERM","Suspect and non-targeted screening of emerging chemicals for biomonitoring and environmental health studies: current capabilities, promises, and challenges.",02-Feb-20,16,Environment International,jean-philippe.antignac@oniris-nantes.fr,https://www.sciencedirect.com/science/article/pii/S0160412019338310?via%3Dihub,Environment International 138C (2020) 105545,"Marianne Pourchet, Laurent Debrauwer, Jana Klanova, Elliott J. Price, Adrian Covaci, Noelia Caballero-Casero, Herbert Oberacher, Marja Lamoree, Annelaure Damont, François Fenaille, Jelle Vlaanderen, Jeroen Meijer, Martin Krauss, Denis Sarigiannis, Robert Barouki, Bruno Le Bizec, Jean-Philippe Antignac",Jean-Philippe laberca@oniris-nantes.fr,"NOW Open Access. PDF free  -                                                                                 Message by Jean-Philippe->Dear Joanna,
Indeed I had a problem with the publication process following a proof issue, and I am in contact with the publisher to solve it and obtain now asap the public delivery of this paper that is indeed accepted already for a while...Best                                                                     INRA, MU, Uantwerpen, MUI, VU-E&H, CEA, IRAS, UFZ, AUTH, INSERM",,,,,,,,,
25,01-May-20,,Biomonitoring of co-exposure to bisphenols by consumers of canned foodstuffs,21 APRIL 2020,,,,https://doi.org/10.1016/j.envint.2020.105760,"Environment International, Volume 140, July 2020, 105760","Neus González, Montse Marquès, Sara C. Cunha, José O. Fernandes, José L. Domingo, Martí Nadal",,"posted on: Facebook, Twitter ",,,,,,,,,
26,21-May-20,,"Bisphenols and oxidative stress biomarkers – Associations found in  human studies, evaluation of methods used, and strengths and weaknesses of  the biomarkers",15-May-20,14,,,https://doi.org/10.3390/ijerph17103609,ijerph-804081 (International Journal of Environmental Research and Public Health),"Inger-Lise Steffensen, Hubert Dirven, Stephan Couderq, Arthur David, Shereen Cynthia D'Cruz, Mariana F. Fernández, Vicente Mustieles, Andrea Rodríguez-Carillo, Tim Hofer ",Tim.Hofer@fhi.no,Open access. PDF - Free key messagent sent 21 april,,,,,,,,,
27,09-Jun-20,,Bisphenol A shapes children's brain and behavior: towards an integrated neurotoxicity assessment including human data. ,,Wp14,,,https://ehjournal.biomedcentral.com/articles/10.1186/s12940-020-00620-y,Environ Health. 2020 Jun 9;19(1):66,"Vicente Mustieles, Mariana F. Fernández",vmustieles@ugr.es; marieta@ugr.es;,Open access. PDF - Free,,,,,,,,,
28,11-Jul-20,,Biomonitoring of occupational exposure to phthalates: A systematic review,22 APRIL 2020,8,,,https://doi.org/10.1016/j.ijheh.2020.113548,"International Journal of Hygiene and Environmental Health, Volume 229, August 2020, 113548","Nadine Fréry, Tiina Santonen, Simo P. Porras, Aleksandra Fucic, Veruscka Leso, Radia Bousoumah, Radu Corneliu Duca, Mounia El Yamani, Marike Kolossa-Gehring, Sophie Ndaw, Susana Viegas, Ivo Iavicoli",nadine.frery@santepubliquefrance.fr,"posted on: Facebook, Twitter ",,,,,,,,,
29,13-Aug-20,,Biomonitoring as an Underused Exposure Assessment Tool in Occupational Safety and Health Context—Challenges andWay Forward I could not find it on the website,11/08/2020,14,,,https://www.mdpi.com/1660-4601/17/16/5884,International Journal of Environmental Research and Public Health,"Susana Viegas, Maryam Zare Jeddi, Nancy B. Hopf, Jos Bessems, Nicole Palmen, Karen S. Galea, Kate Jones, Peter Kujath, Radu-Corneliu Duca, Hans Verhagen, Tiina Santonen and Robert Pasanen-Kase",susana.viegas@ensp.unl.pt,announced on social media sent key messages 25/04,,,,,,,,,
30,26-Aug-20,,Assessment of perfluoroalkyl substances in placenta by coupling salt assisted liquid-liquid extraction with dispersive liquid-liquid microextraction prior to liquid chromatography-tandem mass spectrometry,,WP14,,,https://www.sciencedirect.com/science/article/pii/S0039914020308687?via%3Dihub,,"F.Vela-Soria, J.García-Villanova, V.Mustieles, T.de Haro, J.P.Antignac, M.F.Fernandez",fervs@ugr.es,Open access. PDF - Free,,,,,,,,,
31,28-Aug-20,,Bisphenol A and its analogues: A comprehensive review to identify and prioritize effect biomarkers for human biomonitoring.,07-May-20,WP14,,,https://www.sciencedirect.com/science/article/pii/S0160412020317669?via%3Dihub,Environ Int. 2020 Nov;144:105811,"Vicente Mustieles, Shereen Cynthia D'Cruz, Stephan Couderq, Andrea Rodríguez-Carrillo, Jean-Baptiste Fini, Tim Hofer, Inger-Lise Steffensen, Hubert Dirven, Robert Barouki, Nicolás Olea, Mariana F. Fernández, Arthur David",vmustieles@ugr.es; marieta@ugr.es;arthur.david@ehesp.fr,Open access. PDF - Free,,,,,,,,,
32,10-Sep-20,,learning from the previous work and finding synergies in the domains of environmental and public health: EU-funded projects BRIDGE Health and HBM4EU,MAR.20,WP11,,,https://archpublichealth.biomedcentral.com/articles/10.1186/s13690-020-00460-9 ,Archives of Public Health,"Madlen David, Gerda Schwedler, Lena Reiber, Hanna Tolonen, Anna-Maria Andersson, Marta Esteban López, Anke Joas, Miriam Schöpel, Alexandra Polcher & Marike Kolossa-Gehring",Madlen.David@uba.de,Open access. PDF - Free,,,,,,,,,
33,09-Oct-20,,"""Human Biomonitoring Initiative (HBM4EU) - Strategy to derive HBM Guidance Values (HBM-GVs) for health risk assessment"" ",FEB. 2020 (accepted 1 Sept.2020),5,,,https://doi.org/10.1016/j.ijheh.2020.113622,International Journal of Hygiene and Environmental Health,"Petra Apel, Christophe Rousselle, Rosa Lange, Fatoumata Sissoko, Marike Kolossa-Gehring, Eva Ougier",petra.apel@uba.de,Open access. PDF - Free,,,,,,,,,
34,13-Oct-20,,Exposure to Perflouroalkyl Acids and foetal and maternal thyroid status: a review,accepted 4 June,WP13/14,,,https://doi.org/10.1186/s12940-020-00647-1,"Environmental Health volume 19, Article number: 107 (2020) ","Sophie A. H. Boesen, Manhai Long, Maria Wielsøe, Vicente Mustieles, Mariana F. Fernandez, Eva C. Bonefeld-Jørgensen",Eva C. Bonefeld-Jørgensen: ebj@ph.au.dk,Open access. PDF - Free,,,,,,,,,
35,14-Oct-20,,Receptor-based in vitro activities to assess human exposure to chemical mixtures and related health impacts,"Oct. 2, 2020",WP14-WP16,,,https://www.sciencedirect.com/science/article/pii/S0160412020321462?via%3Dihub ,"Environment International (Volume 146, January 2021, 106191)","Anne Marie Vinggaard, Eva Cecilie Bonefeld-Jørgensen, Tina Kold Jensen, Mariana F. Fernandez, Anna Kjerstine Rosenmai, Camilla Taxvig, Andrea Rodriguez-Carrillo, Maria Wielsøe, Manhai Long, Nicolas Olea, Jean-Philippe Antignac, Timo Hamers, Marja Lamoree",annv@food.dtu.dk,Open access. PDF - Free,,,,,,,,,
36,20-Nov-20,,"Biomarkers, matrices and analytical methods targeting human exposure to chemicals selected for a European human biomonitoring initiative",19 AUG 2020,WP9,,,https://doi.org/10.1016/j.envint.2020.106082,Environment International,"Katrin Vorkamp, Argelia Castaño, Jean-Philippe Antignac, Luis D. Boadad, Enrique Cequiere, Adrian Covaci, Marta Esteban López, Line S. Haug, Monika Kasper-Sonnenberg, Holger M. Koch, Octavio Pérez Luzardo, Agnese Os?te, Loïc Rambaud, Maria-Teresa Pinorini, Gabriele Sabbioni, Cathrine Thomsen",kvo@envs.au.dk,"posted on: Facebook, Twitter ",,,,,,,,,
37,09-Dec-20,,A call for urgent action to safeguard our planet and our health in line with the helsinki declaration,04-Dec-20,See note I put in the cell.,,,https://doi.org/10.1016/j.envres.2020.110600,Environmental Research,"Jaana I. Halonena, Marina Erhola, Eeva Furman, Tari Haahtela, Pekka Jousilahti, Robert Barouki, Åke Bergman, Nils E. Billo, Richard Fuller, Andrew Haines, Manolis Kogevinas, Marike Kolossa-Gehring, Kinga Krauze, Timo Lanki, Joana  Lobo Vicente, Peter Messerli, Mark Nieuwenhuijsen, Riikka Paloniemi, Annette Peters, Karl-Heinz Posch, Pekka Timonen, Roel Vermeulen, Suvi M. Virtanen, Jean Bousquet, Josep M.Antó",jaana.halonen@thl.fi,Open access. PDF - Free,,,,,,,,,
38,09-Dec-20,,Non-targeted screening methodology to characterise human internal chemical exposure: application to halogenated compounds in human milk.,4 DEC 2020,WP16,,,https://doi.org/10.1016/j.talanta.2020.121979,Talanta 2021;225:121979,"Pourchet M, Narduzzi L, Jean A, Guiffard I, Bichon E, Cariou R, Guitton Y, Hutinet S, Vlaanderen J, Meijer J, Le Bizec B, Antignac JP.",laberca@oniris-nantes.fr,"posted on: Facebook, Twitter Key research messages? Jean-philippe informed",,,,,,,,,
39,15-Dec-20,,Towards a systematic use of effect biomarkers in population and occupational biomonitoring missing on the website,30/10/2020,WP14,,,https://www.sciencedirect.com/science/article/pii/S0160412020322121?via%3Dihub,ENVINT-D-20-00827R1,"Maryam Zare Jeddi, Nancy B. Hopf, Susana Viegas, Anna Bal Price, Alicia Paini, Christoph van Thriel, Emilio Benfenati, Sophie Ndaw, Jos Bessems, Peter A. Behnisch, Gabriele Leng, Radu-Corneliu Duca, Hans Verhagen, Francesco Cubadda, Lorraine Brennan, Imran Ali, Arthur David, Vicente Mustieles, Mariana F. Fernandez, Henriqueta Louro, Robert Pasanen-Kase",robert.pasanen-kase@seco.admin.ch,Open access. PDF - Free sent key messages on the 29/04,,,,,,,,,
40,26-Dec-20,,A Phased Approach for preparation and organization of human biomonitoring studies,13/12/2020,WP8/WP7,,,https://doi.org/10.1016/j.ijheh.2020.113684,,"Ulrike Fiddicke, L. Kim Pack, Hanna Tolonen, Ovnair Sepai, Marta Esteban López, Argelia Castaño, Greet Schoeters, Marike Kolossa-Gehring",ulrike.fiddicke@uba.de,Open access. PDF - Free,,,,,,,,,
41,30-Dec-20,,Human biomonitoring initiative (HBM4EU): Human biomonitoring guidance values (HBM-GVs) derived for cadmium and its compounds,FEB. 2020,WP5,,,https://doi.org/10.1016/j.envint.2020.106337,Environment International,"Farida Lamkarkach, Eva Ougier, Robert Garnier, Claude Viau, Marike Kolossa-Gehring, Rosa Lange, Petra Apel","Not sure who is the corresponding author. I will email Marike Kolossa-Gehring, Rosa Lange",Open access. PDF - Free,,,,,,,,,
42,11-Jan-21,,Assessment of chemical mixtures using biomarkers of combined biological activity: A screening study in human placentas,JAN. 2021,WP14,,,https://doi.org/10.1016/j.reprotox.2021.01.002,Reproductive Toxicology,"Andrea Rodríguez-Carrillo, Anna Kjerstine Rosenmai, Vicente Mustieles, Stephan Couderq, Jean-Baptiste Fini, Fernando Vela-Soria, Jose Manuel Molina-Molina, Patricia Ferrando-Marco, Eva Cecilie Bonefeld-Jorgensen, Nicolás Olea, Anne Marie Vinggaard, Mariana F. Fernández",vmustieles@ugr.es; marieta@ugr.es;,"posted on: Facebook, Twitter key research message sent 2/09/2021",,,,,,,,,
43,16-Jan-21,,Environmental Substances Associated with Osteoporosis–A Scoping Review,FEB. 2020,WP11,,,https://doi.org/10.3390/ijerph18020738,"Int. J. Environ. Res. Public Health 2021, 18(2), 738","Hanna Elonheimo, Rosa Lange, Hanna Tolonen and Marike Kolossa-Gehring", hanna.elonheimo@thl.fi,"posted on: Facebook, Twitter. She sent key research messages 19/05/2021 ",,,,,,,,,
44,25-Jan-21,,Towards harmonised criteria in quality assurance and quality control of suspect and non-target LC-HRMS analytical workflows for screening of emerging contaminants in human biomonitoring (was not include in the Science Digest June)- catherine no action needed,??,WP16,,,https://doi.org/10.1016/j.trac.2021.116201,"TrAC Trends in Analytical Chemistry, Volume 136, March 2021, 116201","Noelia Caballero-Casero, Lidia Belova, Philippe Vervliet, Jean-Philippe Antignac, Argelia Castaño, Laurent Debrauwer, Marta  Esteban López, Carolin Huber, Jana Klanova, Martin Krauss, Arjen Lommen, Hans G.J. Mol, Herbert Oberacher, Olga Pardo, Elliott J. Price, Vera Reinstadler, Chiara  Maria Vitale, Alexander L.N. van Nuijs, Adrian Covaci",,"posted on: Facebook, Twitter Jean-Philippe is informed. This publication is missing in the Science Digest June!",,,,,,,,,
45,01-Feb-21,,Scoping review – the association between asthma and environmental chemicals,MAY 2020,WP11,,,https://doi.org/10.3390/ijerph18031323,Int J Env Res Public Health 2021,"Tiina Mattila, Tiina Santonen, Helle Raun Andersen, Andromachi Katsonouri, Tamás Szigeti, Maria Uhl, Wojciech W?sowicz, Rosa Lange, Beatrice Bocca, Flavia Ruggieri, Marike Kolossa-Gehring, Denis A. Sarigiannis and Hanna Tolonen",tiina.mattila@thl.fi ,"posted on: Facebook, Twitter ",,,,,,,,,
